# Généré le 2026-09-22 par leads/build/views.py — ne pas modifier à la main
priorite,action,lead,whatsapp,ville,etape,note
1,Relance 1/3,Baird Memorial College,677875395,Buea (Bonduma),qualifying,fixé : FU2 fixée lun 21 (même lot que MITOC)
2,Relance 1/3,Midas Touch Optic Center (MITOC),678908962,"Buea (Molyko, opp former police station, Malingo)",qualifying,fixé : FU2 fixée lun 21
3,Relance 2/3,OraCare Dental Clinic (Oracare237),672 52 66 86,Buea (Molyo),qualifying,fixé : FU2 (M+4) fixée dim 20
4,Relance 1/3,Discovery Labs,694 86 13 61,Douala (Bassong),qualifying,rythme M+2 (message il y a 4 j)
5,Relance 1/3,YONDJA ANALYSE,696 88 88 23,Douala,qualifying,rythme M+2 (message il y a 4 j)
6,Relance 1/3,Laboratoire du Château,676 94 69 93,Douala (Bonabéri),qualifying,rythme M+2 (message il y a 4 j)
7,Relance 1/3,Département Biologique,699 85 33 52,Douala (Akwa I),qualifying,rythme M+2 (message il y a 4 j)
8,Relance 1/3,Cabinet Médical ISIS,699 34 93 89,Douala (Bonapriso),qualifying,rythme M+2 (message il y a 4 j)
9,Relance 1/3,Cabinet Médical La Cerisaie,699 95 51 64,Douala (Bonapriso),qualifying,rythme M+2 (message il y a 4 j)
10,Relance 1/3,Cabinet Médical i'DoC,699 68 05 88,Douala (Bonapriso),qualifying,rythme M+2 (message il y a 4 j)
11,Relance 1/3,Centre Médical des Capucines,699 72 36 93,Douala (Bonapriso),qualifying,rythme M+2 (message il y a 4 j)
12,Relance 1/3,Cabinet du Dr Brulet Epaka,694 77 74 54,Douala (Bonapriso),qualifying,rythme M+2 (message il y a 4 j)
13,Relance 1/3,Centre Médical Kouam Samuel,677 39 35 31,Douala (Bali),qualifying,rythme M+2 (message il y a 4 j)
14,Relance 1/3,DAS Group International,680 100 626,Douala (Akwa),qualifying,rythme M+2 (message il y a 4 j)
15,RÉPONDRE (règle des 90 s),Centre Médical de Bonanjo,694 57 22 77,"Douala (Bonapriso, ancien aéroport)",qualifying,Yes
